1.0.4.0/22 203.62.252.186
1.0.16.0/23 129.250.0.11
1.0.18.0/23 129.250.0.11
1.0.20.0/23 129.250.0.11
1.0.22.0/23 129.250.0.11
1.0.25.0/24 129.250.0.11
1.0.26.0/23 129.250.0.11
1.0.28.0/22 129.250.0.11
1.0.64.0/18 202.232.0.3
1.0.128.0/17 129.250.0.11
1.0.128.0/18 208.51.134.246
1.0.128.0/19 208.51.134.246
1.0.160.0/19 208.51.134.246
1.0.192.0/18 208.51.134.246
1.0.192.0/19 208.51.134.246
1.0.224.0/19 208.51.134.246
1.1.64.0/19 129.250.0.11
1.2.3.0/24 12.0.1.63
1.5.0.0/16 208.51.134.246
1.8.1.0/24 129.250.0.11
1.8.8.0/24 129.250.0.11
1.8.101.0/24 129.250.0.11
1.8.102.0/24 129.250.0.11
1.8.103.0/24 129.250.0.11
